no,type,poste
16.21,Sud-Ouest - Conseiller-e d'arrondissement,District électoral de Saint-Paul - Émard - Saint-Henri-Ouest
17.00,Mairie d'arrondissement,Mairie de l'arrondissement de Verdun 
17.10,Verdun - Conseiller-e de ville,District électoral de Champlain - L'Île-des-Soeurs 
17.11,Verdun - Conseiller-e d'arrondissement,District électoral de Champlain - L'Île-des-Soeurs (siège 1) 
17.12,Verdun - Conseiller-e d'arrondissement,District électoral de Champlain - L'Île-des-Soeurs (siège 2) 
17.20,Verdun - Conseiller-e de ville,District électoral de Desmarchais-Crawford 
17.21,Verdun - Conseiller-e d'arrondissement,District électoral de Desmarchais-Crawford (siège 1) 
17.22,Verdun - Conseiller-e d'arrondissement,District électoral de Desmarchais-Crawford (siège 2)
18.10,Ville-Marie - Conseiller-e de ville,District électoral de Peter-McGill 
18.20,Ville-Marie - Conseiller-e de ville,District électoral de Saint-Jacques 
18.30,Ville-Marie - Conseiller-e de ville,District électoral de Sainte-Marie 
19.00,Mairie d'arrondissement,Mairie de l'arrondissement de Villeray - Saint-Michel - Parc-Extension 
19.10,VSMPE - Conseiller-e de ville,District électoral de Saint-Michel
19.20,VSMPE - Conseiller-e de ville,District électoral de François-Perrault 
19.30,VSMPE - Conseiller-e de ville,District électoral de Villeray 
19.40,VSMPE - Conseiller-e de ville,District électoral de Parc-Extension 
